"","total"
"2011-04-17",807004
"2011-04-18",281833
"2011-04-19",397000
"2011-04-20",285627
"2011-04-21",332576
"2011-04-22",435267
"2011-04-23",754435
"2011-04-24",642660
"2011-04-25",270184
"2011-04-26",401460
"2011-04-27",346767
"2011-04-28",595797
"2011-04-29",651608
"2011-04-30",982527
"2011-05-01",1053399
"2011-05-02",887382
"2011-05-03",416760
"2011-05-04",381850
"2011-05-05",332247
"2011-05-06",446628
"2011-05-07",742600
"2011-05-08",686114
"2011-05-09",491711
"2011-05-10",392460
"2011-05-11",342762
"2011-05-12",295716
"2011-05-13",350313
"2011-05-14",741372
"2011-05-15",522433
"2011-05-16",251353
"2011-05-17",385820
"2011-05-18",648990
"2011-05-19",623234
"2011-05-20",811197
"2011-05-21",1270390
"2011-05-22",1006597
"2011-05-23",412523
"2011-05-24",592810
"2011-05-25",522593
"2011-05-26",528536
"2011-05-27",565502
"2011-05-28",1003424
"2011-05-29",868379
"2011-05-30",350700
"2011-05-31",527390
"2011-06-01",402182
"2011-06-02",596417
"2011-06-03",674709
"2011-06-04",907978
"2011-06-05",749880
"2011-06-06",370413
"2011-06-07",479570
"2011-06-08",360663
"2011-06-09",332855
"2011-06-10",431750
"2011-06-11",630442
"2011-06-12",787083
"2011-06-13",652908
"2011-06-14",405590
"2011-06-15",318164
"2011-06-16",434778
"2011-06-17",448000
"2011-06-18",745722
"2011-06-19",678133
"2011-06-20",365674
"2011-06-21",346960
"2011-06-22",318833
"2011-06-23",452140
"2011-06-24",455921
"2011-06-25",825360
"2011-06-26",701306
"2011-06-27",348913
"2011-06-28",581890
"2011-06-29",559003
"2011-06-30",625067
"2011-07-01",657912
"2011-07-02",821301
"2011-07-03",674445
"2011-07-04",399935
"2011-07-05",466520
"2011-07-06",406827
"2011-07-07",498098
"2011-07-08",542648
"2011-07-09",957027
"2011-07-10",891677
"2011-07-11",438231
"2011-07-12",457200
"2011-07-13",735640
"2011-07-14",663177
"2011-07-15",647183
"2011-07-16",824133
"2011-07-17",673797
"2011-07-18",455982
"2011-07-19",499220
"2011-07-20",443184
"2011-07-21",454353
"2011-07-22",425485
"2011-07-23",520110
"2011-07-24",491201
"2011-07-25",317698
"2011-07-26",326015
"2011-07-27",331406
"2011-07-28",453127
"2011-07-29",502339
"2011-07-30",812877
"2011-07-31",735306
"2011-08-01",374253
"2011-08-02",377800
"2011-08-03",361662
"2011-08-04",449502
"2011-08-05",487079
"2011-08-06",762517
"2011-08-07",629517
"2011-08-08",365780
"2011-08-09",383075
"2011-08-10",295114
"2011-08-11",423737
"2011-08-12",416400
"2011-08-13",591185
"2011-08-14",535957
"2011-08-15",375619
"2011-08-16",411030
"2011-08-17",372166
"2011-08-18",505198
"2011-08-19",533321
"2011-08-20",830670
"2011-08-21",775039
"2011-08-22",392502
"2011-08-23",466715
"2011-08-24",419675
"2011-08-25",636595
"2011-08-26",651225
"2011-08-27",860916
"2011-08-28",796069
"2011-08-29",395546
"2011-08-30",474335
"2011-08-31",323050
"2011-09-01",489834
"2011-09-02",369316
"2011-09-03",635795
"2011-09-04",568098
"2011-09-05",248634
"2011-09-06",294405
"2011-09-07",243947
"2011-09-08",287614
"2011-09-09",389276
"2011-09-10",683105
"2011-09-11",613262
"2011-09-12",264699
"2011-09-13",321270
"2011-09-14",216810
"2011-09-15",270766
"2011-09-16",333397
"2011-09-17",661687
"2011-09-18",598201
"2011-09-19",213080
"2011-09-20",304180
"2011-09-21",215310
"2011-09-22",242960
"2011-09-23",319666
"2011-09-24",598597
"2011-09-25",483205
"2011-09-26",229103
"2011-09-27",296305
"2011-09-28",219293
"2011-09-29",224842
"2011-09-30",334789
"2011-10-01",605211
"2011-10-02",522711
"2011-10-03",214441
"2011-10-04",287195
"2011-10-05",261009
"2011-10-06",347710
"2011-10-07",379855
"2011-10-08",750038
"2011-10-09",626691
"2011-10-10",281246
"2011-10-11",283040
"2011-10-12",287902
"2011-10-13",398374
"2011-10-14",506977
"2011-10-15",916950
"2011-10-16",806255
"2011-10-17",302666
"2011-10-18",340785
"2011-10-19",302965
"2011-10-20",429468
"2011-10-21",528999
"2011-10-22",943316
"2011-10-23",841585
"2011-10-24",302191
"2011-10-25",354485
"2011-10-26",284684
"2011-10-27",428535
"2011-10-28",566915
"2011-10-29",1199651
"2011-10-30",1118197
"2011-10-31",512195
"2011-11-01",630670
"2011-11-02",562030
"2011-11-03",710323
"2011-11-04",1212606
"2011-11-05",1161187
"2011-11-06",846273
"2011-11-07",286872
"2011-11-08",398945
"2011-11-09",303244
"2011-11-10",440343
"2011-11-11",640496
"2011-11-12",1109771
"2011-11-13",953331
"2011-11-14",315295
"2011-11-15",445069
"2011-11-16",348305
"2011-11-17",589353
"2011-11-18",719352
"2011-11-19",1133313
"2011-11-20",980746
"2011-11-21",433018
"2011-11-22",477315
"2011-11-23",377993
"2011-11-24",381602
"2011-11-25",464919
"2011-11-26",876994
"2011-11-27",672634
"2011-11-28",245750
"2011-11-29",338857
"2011-11-30",265525
"2011-12-01",429355
"2011-12-02",592880
"2011-12-03",1139385
"2011-12-04",934958
"2011-12-05",318662
"2011-12-06",335770
"2011-12-07",321987
"2011-12-08",298167
"2011-12-09",428313
"2011-12-10",837201
"2011-12-11",758424
"2011-12-12",216544
"2011-12-13",287578
"2011-12-14",292199
"2011-12-15",461772
"2011-12-16",642252
"2011-12-17",1153335
"2011-12-18",959123
"2011-12-19",333477
"2011-12-20",402310
"2011-12-21",330518
"2011-12-22",410336
"2011-12-23",516165
"2011-12-24",958863
"2011-12-25",857804
"2011-12-26",322884
"2011-12-27",391220
"2011-12-28",510665
"2011-12-29",877284
"2011-12-30",764441
"2011-12-31",289902
"2012-01-01",1319870
"2012-01-02",1781186
"2012-01-03",1736225
"2012-01-04",1706294
"2012-01-05",1640599
"2012-01-06",1466639
"2012-01-07",1451722
"2012-01-08",1419380
"2012-01-09",1022933
"2012-01-10",563060
"2012-01-11",466622
"2012-01-12",404037
"2012-01-13",465454
"2012-01-14",936002
"2012-01-15",740595
"2012-01-16",311268
"2012-01-17",335913
"2012-01-18",276812
"2012-01-19",410683
"2012-01-20",588088
"2012-01-21",1059844
"2012-01-22",889081
"2012-01-23",336615
"2012-01-24",445475
"2012-01-25",370769
"2012-01-26",437150
"2012-01-27",536201
"2012-01-28",1003806
"2012-01-29",826424
"2012-01-30",312477
"2012-01-31",303265
"2012-02-01",264434
"2012-02-02",382887
"2012-02-03",518773
"2012-02-04",863911
"2012-02-05",722417
"2012-02-06",277998
"2012-02-07",354635
"2012-02-08",267508
"2012-02-09",361549
"2012-02-10",478419
"2012-02-11",901625
"2012-02-12",797875
"2012-02-13",283574
"2012-02-14",595140
"2012-02-15",357058
"2012-02-16",365316
"2012-02-17",498442
"2012-02-18",901287
"2012-02-19",824834
"2012-02-20",282647
"2012-02-21",389210
"2012-02-22",515580
"2012-02-23",1286750
"2012-02-24",543692
"2012-02-25",953697
"2012-02-26",736078
"2012-02-27",272237
"2012-02-28",358745
"2012-02-29",300319
"2012-03-01",301770
"2012-03-02",433392
"2012-03-03",786962
"2012-03-04",739924
"2012-03-05",257390
"2012-03-06",268580
"2012-03-07",485548
"2012-03-08",1508705
"2012-03-09",1351268
"2012-03-10",1015022
"2012-03-11",477796
"2012-03-12",301364
"2012-03-13",441445
"2012-03-14",323618
"2012-03-15",407164
"2012-03-16",565671
"2012-03-17",1270580
"2012-03-18",1165312
"2012-03-19",335687
"2012-03-20",459589
"2012-03-21",380038
"2012-03-22",439664
"2012-03-23",563433
"2012-03-24",1231525
"2012-03-25",1108438
"2012-03-26",510874
"2012-03-27",562104
"2012-03-28",511762
"2012-03-29",713339
"2012-03-30",845034
"2012-03-31",1222722
"2012-04-01",998652
"2012-04-02",353504
"2012-04-03",423070
"2012-04-04",361117
"2012-04-05",600351
"2012-04-06",673162
"2012-04-07",1288732
"2012-04-08",1116391
"2012-04-09",413101
"2012-04-10",508230
"2012-04-11",465876
"2012-04-12",434846
"2012-04-13",533698
"2012-04-14",762794
"2012-04-15",848248
"2012-04-16",337632
"2012-04-17",388096
"2012-04-18",294499
"2012-04-19",501922
"2012-04-20",588850
"2012-04-21",946534
"2012-04-22",828994
"2012-04-23",326932
"2012-04-24",354640
"2012-04-25",335362
"2012-04-26",431869
"2012-04-27",416208
"2012-04-28",593180
"2012-04-29",1035613
"2012-04-30",1061275
"2012-05-01",896848
"2012-05-02",314407
"2012-05-03",596269
"2012-05-04",558662
"2012-05-05",621867
"2012-05-06",1110776
"2012-05-07",1076795
"2012-05-08",978314
"2012-05-09",571142
"2012-05-10",367793
"2012-05-11",394941
"2012-05-12",593944
"2012-05-13",664602
"2012-05-14",296655
"2012-05-15",343732
"2012-05-16",336834
"2012-05-17",326120
"2012-05-18",441911
"2012-05-19",625063
"2012-05-20",513794
"2012-05-21",261685
"2012-05-22",334793
"2012-05-23",338031
"2012-05-24",587316
"2012-05-25",668042
"2012-05-26",1018681
"2012-05-27",894127
"2012-05-28",402826
"2012-05-29",429646
"2012-05-30",350851
"2012-05-31",510806
"2012-06-01",566450
"2012-06-02",923458
"2012-06-03",700763
"2012-06-04",357440
"2012-06-05",449265
"2012-06-06",344568
"2012-06-07",655199
"2012-06-08",483878
"2012-06-09",666253
"2012-06-10",1093753
"2012-06-11",1067884
"2012-06-12",737082
"2012-06-13",388845
"2012-06-14",525002
"2012-06-15",569724
"2012-06-16",817077
"2012-06-17",761879
"2012-06-18",412063
"2012-06-19",417500
"2012-06-20",372384
"2012-06-21",423275
"2012-06-22",497538
"2012-06-23",715128
"2012-06-24",736358
"2012-06-25",425909
"2012-06-26",477986
"2012-06-27",460975
"2012-06-28",439884
"2012-06-29",466801
"2012-06-30",587268
"2012-07-01",460754
"2012-07-02",333702
"2012-07-03",363898
"2012-07-04",293446
"2012-07-05",564867
"2012-07-06",660383
"2012-07-07",910007
"2012-07-08",860019
"2012-07-09",506473
"2012-07-10",507918
"2012-07-11",447394
"2012-07-12",668341
"2012-07-13",661665
"2012-07-14",874712
"2012-07-15",820468
"2012-07-16",580289
"2012-07-17",603811
"2012-07-18",622812
"2012-07-19",593361
"2012-07-20",606037
"2012-07-21",844628
"2012-07-22",747722
"2012-07-23",477960
"2012-07-24",516685
"2012-07-25",509533
"2012-07-26",754317
"2012-07-27",645899
"2012-07-28",980845
"2012-07-29",866006
"2012-07-30",507321
"2012-07-31",509429
"2012-08-01",443799
"2012-08-02",540821
"2012-08-03",904234
"2012-08-04",780881
"2012-08-05",717865
"2012-08-06",452091
"2012-08-07",506642
"2012-08-08",432610
"2012-08-09",491177
"2012-08-10",715904
"2012-08-11",777975
"2012-08-12",818559
"2012-08-13",449775
"2012-08-14",486618
"2012-08-15",414824
"2012-08-16",661161
"2012-08-17",700756
"2012-08-18",975182
"2012-08-19",838138
"2012-08-20",438914
"2012-08-21",461595
"2012-08-22",392299
"2012-08-23",485665
"2012-08-24",568293
"2012-08-25",808187
"2012-08-26",674742
"2012-08-27",389740
"2012-08-28",415242
"2012-08-29",356094
"2012-08-30",424701
"2012-08-31",498227
"2012-09-01",849248
"2012-09-02",693294
"2012-09-03",261888
"2012-09-04",304166
"2012-09-05",268300
"2012-09-06",277788
"2012-09-07",399701
"2012-09-08",673568
"2012-09-09",589219
"2012-09-10",250957
"2012-09-11",289783
"2012-09-12",285642
"2012-09-13",482789
"2012-09-14",530625
"2012-09-15",937870
"2012-09-16",743785
"2012-09-17",297268
"2012-09-18",336535
"2012-09-19",282493
"2012-09-20",329453
"2012-09-21",398545
"2012-09-22",678179
"2012-09-23",586763
"2012-09-24",251808
"2012-09-25",289206
"2012-09-26",247770
"2012-09-27",319822
"2012-09-28",410675
"2012-09-29",762965
"2012-09-30",605873
"2012-10-01",242096
"2012-10-02",293513
"2012-10-03",241468
"2012-10-04",365643
"2012-10-05",501180
"2012-10-06",874915
"2012-10-07",711141
"2012-10-08",286673
"2012-10-09",345265
"2012-10-10",307378
"2012-10-11",353440
"2012-10-12",395341
"2012-10-13",756958
"2012-10-14",631573
"2012-10-15",268575
"2012-10-16",291071
"2012-10-17",325879
"2012-10-18",482920
"2012-10-19",628097
"2012-10-20",1009695
"2012-10-21",911657
"2012-10-22",323934
"2012-10-23",374330
"2012-10-24",371139
"2012-10-25",437354
"2012-10-26",710015
"2012-10-27",1150850
"2012-10-28",1079539
"2012-10-29",472481
"2012-10-30",575167
"2012-10-31",532154
"2012-11-01",460802
"2012-11-02",621125
"2012-11-03",1070523
"2012-11-04",1119119
"2012-11-05",831725
"2012-11-06",288487
"2012-11-07",304841
"2012-11-08",314821
"2012-11-09",453147
"2012-11-10",925379
"2012-11-11",724057
"2012-11-12",299543
"2012-11-13",285970
"2012-11-14",331905
"2012-11-15",645602
"2012-11-16",768020
"2012-11-17",1217848
"2012-11-18",963216
"2012-11-19",386844
"2012-11-20",404844
"2012-11-21",402685
"2012-11-22",393642
"2012-11-23",510933
"2012-11-24",950265
"2012-11-25",818446
"2012-11-26",283934
"2012-11-27",312970
"2012-11-28",266616
"2012-11-29",370030
"2012-11-30",496761
"2012-12-01",907454
"2012-12-02",797875
"2012-12-03",295927
"2012-12-04",339179
"2012-12-05",293311
"2012-12-06",293367
"2012-12-07",398097
"2012-12-08",751490
"2012-12-09",595912
"2012-12-10",215324
"2012-12-11",244600
"2012-12-12",246064
"2012-12-13",189454
"2012-12-14",278890
"2012-12-15",584469
"2012-12-16",522178
"2012-12-17",195015
"2012-12-18",226901
"2012-12-19",372130
"2012-12-20",335419
"2012-12-21",418906
"2012-12-22",709486
"2012-12-23",647344
"2012-12-24",230863
"2012-12-25",256232
"2012-12-26",215485
"2012-12-27",406327
"2012-12-28",440688
"2012-12-29",594721
"2012-12-30",735555
"2012-12-31",224084
"2013-01-01",1353609
"2013-01-02",1897597
"2013-01-03",1812501
"2013-01-04",1651174
"2013-01-05",1480270
"2013-01-06",1278843
"2013-01-07",1347593
"2013-01-08",865330
"2013-01-09",464559
"2013-01-10",493006
"2013-01-11",595218
"2013-01-12",996325
"2013-01-13",802169
"2013-01-14",318914
"2013-01-15",367319
"2013-01-16",328397
"2013-01-17",469144
"2013-01-18",578151
"2013-01-19",1034378
"2013-01-20",935641
"2013-01-21",365883
"2013-01-22",394074
"2013-01-23",391922
"2013-01-24",384262
"2013-01-25",484473
"2013-01-26",887677
"2013-01-27",756560
"2013-01-28",312852
"2013-01-29",335447
"2013-01-30",283784
"2013-01-31",381475
"2013-02-01",475394
"2013-02-02",878192
"2013-02-03",706441
"2013-02-04",251165
"2013-02-05",316365
"2013-02-06",274698
"2013-02-07",282080
"2013-02-08",377065
"2013-02-09",733072
"2013-02-10",649332
"2013-02-11",258641
"2013-02-12",295665
"2013-02-13",258877
"2013-02-14",516119
"2013-02-15",399103
"2013-02-16",696145
"2013-02-17",626110
"2013-02-18",247952
"2013-02-19",268402
"2013-02-20",254534
"2013-02-21",272087
"2013-02-22",383346
"2013-02-23",789753
"2013-02-24",620996
"2013-02-25",253237
"2013-02-26",263066
"2013-02-27",246004
"2013-02-28",406954
"2013-03-01",550298
"2013-03-02",829026
"2013-03-03",672546
"2013-03-04",273286
"2013-03-05",318423
"2013-03-06",213136
"2013-03-07",576013
"2013-03-08",1329723
"2013-03-09",1144201
"2013-03-10",801713
"2013-03-11",264097
"2013-03-12",315800
"2013-03-13",300710
"2013-03-14",310195
"2013-03-15",392725
"2013-03-16",900364
"2013-03-17",779216
"2013-03-18",270482
"2013-03-19",298657
"2013-03-20",278701
"2013-03-21",310553
"2013-03-22",422140
"2013-03-23",861620
"2013-03-24",742707
"2013-03-25",353198
"2013-03-26",407670
"2013-03-27",402282
"2013-03-28",552703
"2013-03-29",620913
"2013-03-30",1058095
"2013-03-31",793532
"2013-04-01",257614
"2013-04-02",275329
"2013-04-03",239495
"2013-04-04",264050
"2013-04-05",408121
"2013-04-06",826906
"2013-04-07",704488
"2013-04-08",222586
"2013-04-09",284629
"2013-04-10",288680
"2013-04-11",327382
"2013-04-12",511966
"2013-04-13",902457
"2013-04-14",767374
"2013-04-15",255026
"2013-04-16",291912
"2013-04-17",245011
"2013-04-18",348340
"2013-04-19",493499
"2013-04-20",795581
"2013-04-21",684262
"2013-04-22",241102
"2013-04-23",291791
"2013-04-24",277810
"2013-04-25",332409
"2013-04-26",460598
"2013-04-27",699497
"2013-04-28",683918
"2013-04-29",270773
"2013-04-30",333944
"2013-05-01",847912
"2013-05-02",1097320
"2013-05-03",912514
"2013-05-04",800151
"2013-05-05",662637
"2013-05-06",285216
"2013-05-07",304335
"2013-05-08",375924
"2013-05-09",595432
"2013-05-10",590859
"2013-05-11",521048
"2013-05-12",383454
"2013-05-13",149604
"2013-05-14",179173
"2013-05-15",212685
"2013-05-16",316719
"2013-05-17",394085
"2013-05-18",704516
"2013-05-19",524197
"2013-05-20",227369
"2013-05-21",267764
"2013-05-22",332362
"2013-05-23",618950
"2013-05-24",665042
"2013-05-25",867730
"2013-05-26",679036
"2013-05-27",362525
"2013-05-28",384149
"2013-05-29",299929
"2013-05-30",467345
"2013-05-31",519993
"2013-06-01",719483
"2013-06-02",599673
"2013-06-03",310369
"2013-06-04",353669
"2013-06-05",318884
"2013-06-06",439378
"2013-06-07",494387
"2013-06-08",815226
"2013-06-09",650004
"2013-06-10",292988
"2013-06-11",385593
"2013-06-12",659387
"2013-06-13",420941
"2013-06-14",536937
"2013-06-15",777586
"2013-06-16",570122
"2013-06-17",336617
"2013-06-18",375446
"2013-06-19",314571
"2013-06-20",472271
"2013-06-21",500376
"2013-06-22",617225
"2013-06-23",600223
"2013-06-24",368738
"2013-06-25",382797
"2013-06-26",409028
"2013-06-27",526415
"2013-06-28",558744
"2013-06-29",801567
"2013-06-30",761284
"2013-07-01",470009
"2013-07-02",417154
"2013-07-03",410201
"2013-07-04",517817
"2013-07-05",526504
"2013-07-06",635207
"2013-07-07",629118
"2013-07-08",361437
"2013-07-09",397842
"2013-07-10",413224
"2013-07-11",488787
"2013-07-12",582682
"2013-07-13",837155
"2013-07-14",816915
"2013-07-15",452391
"2013-07-16",414618
"2013-07-17",458066
"2013-07-18",477660
"2013-07-19",593821
"2013-07-20",867194
"2013-07-21",738934
"2013-07-22",357955
"2013-07-23",398170
"2013-07-24",364214
"2013-07-25",545113
